site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
8,4.9076628685,52.3639755249,1,75826.66666666666,485290.6666666668,6.400000000000001,399.2053169663893,11588.796221117524
9,4.84885756175,52.39232508343333,3,5470.751096491227,35012.80701754386,2.133333333333334,551.9200461768713,19046.517843306137
10,4.91740465164,52.3773880005,1,9210.302083333334,34078.11770833334,3.7000000000000015,399.2874421685556,11592.315727413825
14,4.894750118255555,52.38472154406668,9,345961.125,2799032.416666667,7.673388863245538,470.1690191151984,15467.526765514654
17,4.909200668335,52.376218795750006,4,75826.66666666666,280558.6666666666,0.9250000000000002,441.2412058564285,13588.782723059849
18,4.89013719559,52.40577316280001,6,278870.0416666666,622514.05,2.3585415705040886,399.4614729311367,11599.773298939324
19,4.83870887756,52.4014053345,2,80836.5,177586.27500000002,1.2655188067630974,399.434673468138,11598.624939018524
24,4.874947865803333,52.33617401123333,3,8831.03787713853,112154.18103965934,4.233333333333333,495.598022596807,16563.20705981872
25,4.879843997951999,52.35710983276,10,527697.6249999999,13034131.3375,22.23,504.326563093332,17004.23713597866
27,4.86893892288,52.3926620483,1,81297.83333333334,179293.20833333334,2.5310376135261947,399.3810497078025,11596.32709875786
28,4.918839097026249,52.3773388862375,8,85724.79166666667,239667.5791666667,1.9038797016907745,422.7842023164071,13377.34481528724
30,4.94691419601,52.301433563200014,13,152463.2809715682,1936693.497461665,10.780153490492214,398.8232764418645,11572.421412128975
31,4.884865113666429,52.33784321374287,14,697759.8173593275,8861549.680463457,9.071428571428571,575.2700974065599,23499.025604483384
33,4.91761922836,52.3464851379,2,127255.125,3138344.5875000004,24.250521521246178,399.0983258282752,11584.210811380006
34,4.8381319046,52.3855400085,2,5665.639355023984,71953.61980880461,12.7,399.3373909205128,11594.45621372498
36,4.87885856628,52.3642234802,2,64836.33333333332,129672.66666666666,2.0000000000000004,405.7852133173079,12069.40679948448
38,4.85079073906,52.4097480774,2,9196.385416666666,34026.62604166668,1.8500000000000008,405.9827481791596,12104.652052838428
46,4.953748975481429,52.30281339374286,7,75826.66666666666,561117.3333333333,1.0571428571428574,584.9681735030975,23221.80955650188
49,4.9209891557675,52.4047355652,4,18392.5625,68052.48125000001,1.8500000000000008,420.71410400641753,12885.847736935048
56,4.854908148446666,52.33532842,3,75826.66666666666,280558.6666666666,1.2333333333333336,433.0758770792654,13337.24791372011
57,4.77356449763,52.35589599606667,3,3012.249999999999,150612.49999999997,16.666666666666668,510.0532738818624,17047.402422257645
63,4.8433053493500005,52.38646380108333,6,8235.200090777049,104587.04115286854,6.350000000000001,513.8683547863504,19649.286258980792
67,4.854749917985,52.336391449,2,9197.052083333334,34029.09270833334,1.8500000000000008,412.13676403824377,12594.943632545075
71,4.842748165130001,52.3854446411,4,121149.58333333331,775357.3333333335,3.2000000000000006,419.1469019368313,13129.843708457884
73,4.858798503875001,52.3407077789,2,75826.66666666666,962998.6666666664,6.349999999999999,479.6805734880219,16485.830768610216
78,4.807226753235,52.40663909909999,10,245873.5625,1819465.595833333,3.700338784192215,471.7845026181968,17206.07882829266
82,4.929809331894999,52.372400283812496,8,114738.10061379356,2834000.2101607006,18.52397795293775,545.750264764691,21475.394963088173
84,4.91676712036,52.3444404602,4,83307.91666666667,1058010.5416666665,6.349999999999999,399.08582587647726,11583.67507082696
85,4.94881010056,52.3691711426,4,12697.188120363797,161254.2891286202,6.35,399.2371218063612,11590.15925036374
88,4.95332193375,52.3233261108,3,151653.33333333326,1925997.3333333328,4.2333333333333325,398.9568384800388,11578.146508527156
91,4.94148015976,52.3351707458,1,4826.166666666665,30887.466666666664,6.400000000000002,399.02917632740485,11581.247053463114
