site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,114.1426505,22.54774975,4,77594.57267486338,543162.0087240437,7.0,431.91527011314906,12419.719390458404
1,114.119416,22.541244,1,9882.749999999998,69179.25,7.0,275.2897656409869,6011.643661735568
3,114.109352,22.540594,1,5726.624999999998,40147.91666666666,7.003538755224323,275.2890789411989,6011.615355370399
4,114.11661,22.579,1,100576.91666666669,704038.4166666666,7.0,275.3296980129936,6013.289654651849
5,114.114493,22.543569,1,32646.83333333333,228527.83333333328,7.0,275.2922221260995,6011.744919914254
6,114.01892,22.540155,1,15534.105769230768,108738.7403846154,7.0,275.28861516974274,6011.596238297491
7,114.0319615,22.5308595,2,173529.54166666666,1214706.7916666665,7.0,361.5472096654745,9414.519933670292
8,114.064676,22.54205,1,19800.25,138601.75,7.0,275.29061718498855,6011.678763066828
9,114.061747,22.534352,1,35003.24999999999,265117.5,7.608100089941281,275.2824858361208,6011.343580299457
10,114.06504,22.542691,1,23977.666666666668,167843.66666666666,7.0,275.2912944332247,6011.70667975563
11,114.059874,22.546939,1,20875.08333333333,146125.58333333328,7.0,275.29578329794066,6011.891713408681
12,113.951133,22.557102,1,20905.926220908663,146341.48354636066,7.0,275.3065270543198,6012.334571934837
13,113.950235,22.520467,2,198532.83218762552,1389729.8253133786,7.0,275.2678284137697,6010.739374792339
14,113.925543,22.514911,1,99696.41666666664,1498612.1666666665,15.150786241970284,275.2619666547613,6010.4977384644535
16,113.921492,22.516192,1,61518.50000000001,771471.6666666666,12.921353024785132,275.26331798325043,6010.553443799046
17,113.915138,22.478934,1,12023.08333333333,84161.58333333333,7.0,275.2240556731022,6008.934898042579
18,113.9411275,22.5265195,2,25758.107506464123,180584.4192119155,7.002450413125024,297.406740213517,6944.463251129532
19,114.000504,22.59265,1,63074.75,441523.25,7.0,275.34415645399326,6013.885598415334
20,113.991005,22.588745,2,276389.04107756505,1934723.2875429555,7.0,275.3400190007885,6013.715063497932
21,113.925598,22.511655,1,89375.08333333333,625625.5833333333,7.0,275.2585323525501,6010.356166905757
22,113.935285,22.545938,1,11989.340407665057,83925.38285365539,7.0,275.2947254393728,6011.848107963877
23,113.9337,22.543519,1,16446.416666666664,115124.91666666666,7.0,275.29216929389656,6011.742742135593
24,113.920728,22.554594,1,68845.75,481920.25,7.0,275.303875145072,6012.225260722679
25,113.993017,22.588465,1,56185.458333333336,529002.4999999999,9.938461018705482,275.3397223703871,6013.702837136909
26,113.953522,22.53707,1,103743.83333333331,726206.8333333334,7.0,275.28535642408286,6011.461909455761
27,113.95116,22.539155,1,28373.375,198613.625,7.0,275.28755878622326,6011.552693160659
28,113.929574,22.520275,1,15613.33333333333,109293.33333333331,7.0,275.2676258158461,6010.731023236775
29,113.953061,22.536144,1,16768.625,117380.375,7.0,275.2843783885639,6011.421593696664
30,113.953506,22.581056,1,30533.58333333333,213735.0833333333,7.0,275.3318750480992,6013.379387935238
31,113.947256,22.546191,1,84583.75,592086.25,7.0,275.2949928046951,6011.859128902433
32,113.938953,22.506216,1,12587.20833333333,88110.45833333333,7.0,275.2527969586631,6010.119736136592
33,113.913198,22.492013,1,17316.999999999996,121219.0,7.0,275.23782855050484,6009.502681517598
34,113.922874,22.537369,1,6548.916666666664,45905.70833333333,7.002351774689669,275.2856722394171,6011.474927724444
35,113.834711,22.641907,1,184698.16666666663,1292887.1666666667,7.0,275.39642631749643,6016.039926408655
36,113.816864,22.732245,1,41478.708333333336,391019.5,9.431580439005852,275.49267954804134,6020.006575990161
37,113.816985,22.733921,1,143457.4327132289,1138465.1608121395,7.985273227516695,275.4944700624624,6020.080358264749
38,113.864174,22.625239,1,220800.16666666663,2297557.666666667,10.38510345891729,275.37872203966634,6015.310256255537
39,114.04726,22.7296,3,56896.33333333333,398274.33333333326,2.333333333333333,275.48985417923143,6019.890149712673
40,113.899904,22.717609,1,24974.291666666664,351874.5833333333,14.123815635152464,275.4770509171142,6019.362553130821
41,114.031654,22.641304,1,7907.041666666664,58064.458333333336,7.618589890905501,275.3957855274243,6016.013517022859
42,113.790987,22.731351,1,27913.666666666664,195395.66666666663,7.0,275.49172453485136,6019.967222380718
43,114.004064,22.635491,1,61494.99999999999,595886.8333333334,10.07499641282736,275.38960939323044,6015.7589738268425
44,113.829771,22.722116,2,378015.375,2646115.208333333,7.000176336084952,275.4818621731177,6019.560816555419
45,113.886492,22.5875,1,38938.20833333333,272567.4583333333,7.0,275.3387000887935,6013.660701193336
46,113.998477,22.698506,1,26144.08333333333,3921612.5,150.0,275.45667228567714,6018.522768471833
47,113.84918,22.57424,1,22640.44482600733,158483.11378205128,7.0,275.324658796119,6013.08194643366
48,114.030658,22.602767,1,30832.875,215830.125,7.0,275.35488005742764,6014.32759176646
49,113.838491,22.605773,1,182930.91280864197,1280516.389660494,7.0,275.358067509752,6014.458967102278
50,113.924005,22.573024,1,18470.45833333333,129293.20833333331,7.0,275.32337169052715,6013.02889378861
51,113.833747,22.721038,1,13837.124999999998,96859.875,7.0,275.480711286569,6019.513390677701
52,113.82565,22.727942,1,32480.549166666668,227363.84416666665,7.0,275.488083336806,6019.817177518154
53,113.813758,22.668147,1,42913.875,300397.12499999994,7.0,275.42433247391574,6017.190018020127
55,113.927825,22.582072,1,32413.58333333333,226895.0833333333,7.0,275.3329509562253,6013.423734720434
56,113.82838,22.728282,3,12901.583333333328,845100.8333333334,102.33333333333336,275.488446462431,6019.832141075895
57,113.92523,22.724682,2,6361.545412297432,955285.1690482452,150.8747776346897,275.4846019604643,6019.673717697652
58,113.92127,22.67241,2,9169.874999999996,1375481.25,150.00000000000003,275.4288701782646,6017.377024761728
59,113.863634,22.585192,2,55564.44081983308,8334666.122974963,150.0,275.3362553187454,6013.559933462592
60,113.863746,22.583958,1,41532.16666666666,290725.1666666666,7.0,275.3349483294584,6013.50606225405
61,113.847831,22.602124,1,17534.416666666664,2630162.5,150.0,275.35419831569703,6014.29949273464
62,113.846998,22.602568,1,36554.95833333333,255884.7083333333,7.0,275.35466906488085,6014.318895391136
